row_id,run_id,test_instance_id,test_instance_mod,warehouse_id,random_seed,method,initialization,timeforsubproblem,partition,lsnsiteration,objective,solve_time,cumul_time,solvetime_init,solvetime_spselection,solvetime_spopt,time_utilization,throughput_utilization,bestthroughput_utilization,total_orders_worked,total_orders_completed,congestion_utilization,max_congestion,pods_used,unique_pods_used,items_picked_per_pod,pod_distance_travelled,order_open_time_per_item,orders_size_1,orders_size_2,orders_size_3,orders_size_4,orders_size_5,orders_size_6,orders_size_7,orders_size_8,orders_size_9,orders_size_10,orders_size_large,,,,,,
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,9,201,11.78700018,119.5879998,0,5.588000059,5.003000021,0.758064516,1.116666667,0.711111111,96,96,0.255737705,1,81,69,2.913043478,3408,1.149253731,58,9,15,5,3,3,1,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,10,206,11.90499997,131.4929998,0,5.758000135,4.877000093,0.771505376,1.144444444,0.725,97,97,0.255737705,1,81,69,2.985507246,3404,1.111650485,58,9,15,5,4,3,1,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,11,207,11.74900007,143.2419999,0,5.713000059,5.002000093,0.782258065,1.15,0.733333333,98,98,0.265983607,1,84,69,3,3652,1.183574879,59,10,13,6,4,3,1,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,12,212,9.433000088,152.675,0,3.447999954,5.003000021,0.801075269,1.177777778,0.752777778,97,97,0.271721311,1,86,70,3.028571429,3752,1.226415094,57,10,13,6,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,13,218,11.86800003,164.543,0,5.719000101,5.002000093,0.819892473,1.211111111,0.772222222,99,99,0.276229508,1,87,70,3.114285714,3780,1.28440367,57,11,13,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,14,218,9.24000001,173.783,0,2.980999947,5.003000021,0.819892473,1.211111111,0.772222222,99,99,0.276229508,1,87,70,3.114285714,3780,1.28440367,57,11,13,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,15,221,4.25,178.033,0,2.718999863,0.694000006,0.833333333,1.227777778,0.777777778,100,100,0.279098361,1,89,71,3.112676056,3852,1.339366516,57,11,14,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,16,222,10.99300003,189.026,0,5.59800005,4.135999918,0.836021505,1.233333333,0.780555556,101,101,0.279508197,1,89,71,3.126760563,3864,1.369369369,58,11,14,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,17,222,5.167999983,194.194,0,4.128000021,0.006999969,0.836021505,1.233333333,0.780555556,101,101,0.279508197,1,89,71,3.126760563,3864,1.369369369,58,11,14,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,18,222,10.03699994,204.2309999,0,3.951999903,5.003999949,0.836021505,1.233333333,0.780555556,101,101,0.279508197,1,89,71,3.126760563,3864,1.369369369,58,11,14,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,19,224,4.836000204,209.0670002,0,2.735000134,1.304000139,0.841397849,1.244444444,0.786111111,102,102,0.27704918,1,89,71,3.154929577,3812,1.383928571,58,12,14,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,20,224,3.634000063,212.7010002,0,2.380000114,0.040999889,0.841397849,1.244444444,0.786111111,102,102,0.27704918,1,89,71,3.154929577,3812,1.383928571,58,12,14,7,4,3,2,0,1,0,1,0,0,0,0,0,0
872,872,6,,1,21518,Learn-then-optimize,(cold start),,1,21,224,10.82099986,223.5220001,0,4.61500001,5.003999949,0.841397849,1.244444444,0.786111111,102,102,0.27704918,1,89,71,3.154929577,3812,1.383928571,58,12,14,7,4,3,2,0,1,0,1,0,0,0,0,0,0
